,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,class
TCGA-2F-A9KR,-0.38444605,0.20491154,-0.14898112,0.3312973,0.15571237,0.8762137,0.88116467,-0.14835854,0.12150267,-0.43599296,0.495058,-0.42798382,0.50500643,0.50958633,-0.3832514,-0.01945422,0.9268905,0.7069069,0.07942089,0.41385013,Ba/Sq
TCGA-2F-A9KT,-0.054978702,-0.11548255,-0.16744862,-0.06914131,0.326599,0.2833724,0.3140167,-0.19114502,-0.05364071,-0.013084605,0.09552442,-0.23799181,0.28056452,0.30978388,0.014026538,-0.14532888,0.22368723,0.029698886,0.34911236,0.2554237,Ba/Sq
TCGA-4Z-AA7Q,-0.26805303,-0.20545337,-0.40869772,-0.21925472,1.012594,0.91582423,0.37809807,-0.03461265,-0.44960523,0.17695059,0.023639694,-0.44093847,0.26230204,0.9966693,0.35587186,-0.6021329,0.3443249,0.07627647,1.1074553,0.44509763,Ba/Sq
TCGA-4Z-AA7W,-0.013038658,-0.023191318,-0.30192918,-0.34688607,1.3216444,0.8665036,0.065545596,0.23260182,-0.67113507,0.24169074,0.14379296,-0.4338916,0.27253833,1.2728205,0.53913283,-1.0351504,0.2699879,0.1002206,1.5128376,0.47433114,Ba/Sq
TCGA-4Z-AA81,-0.21446028,-0.24566396,-0.36028606,-0.31185538,1.035208,0.7699787,0.21171306,-0.07187405,-0.478836,0.36157078,-0.043986157,-0.3984654,0.28853732,0.88470757,0.48054317,-0.75013286,0.19116062,-0.114115484,1.2245067,0.39041403,Ba/Sq
TCGA-4Z-AA82,-0.032556754,-0.033959538,-0.2867474,-0.32923222,1.225762,0.9439296,0.1652568,0.26970398,-0.54929936,0.078350544,0.16520458,-0.4532544,0.22871205,1.2348588,0.45474663,-0.85070074,0.44288117,0.22705886,1.3158889,0.5234114,Ba/Sq
TCGA-4Z-AA84,-0.2636434,-0.3548872,-0.3077374,-0.41996872,1.1348313,0.7731452,0.06683938,-0.024381146,-0.523366,0.42289597,-0.22287485,-0.34345448,0.22124103,0.91257596,0.6196524,-0.878224,0.20531705,-0.18770257,1.3744678,0.38440496,Ba/Sq
TCGA-4Z-AA86,-0.04396827,0.037979856,-0.24726096,-0.14318168,0.8170217,0.7774186,0.33283183,0.16670623,-0.29605803,-0.10649474,0.29139602,-0.45841485,0.26736838,0.99140275,0.15262064,-0.44485384,0.49534458,0.34225988,0.83273983,0.45440745,Ba/Sq
TCGA-BL-A13I,-0.11073819,-0.1022419,-0.29330426,-0.22135611,0.7819825,0.63119876,0.2725621,-0.0083564,-0.32819906,0.07101953,0.14355353,-0.3693998,0.26160523,0.7893251,0.2334021,-0.51196,0.29593405,0.060652383,0.8685591,0.42047757,Ba/Sq
TCGA-BL-A13J,-0.10955538,-0.20838667,-0.14624019,-0.4370435,1.0629022,0.62641317,-0.031123102,0.051280364,-0.56369764,0.26184756,-0.2020705,-0.1859771,0.27038231,0.79535544,0.5564977,-0.9030575,0.2562483,-0.16943583,1.1760495,0.34065187,Ba/Sq
TCGA-BL-A5ZZ,-0.16061868,-0.1939163,-0.30878878,-0.18828773,0.74033445,0.64514506,0.2633524,-0.09786634,-0.31938228,0.1765375,0.054148532,-0.3246795,0.308005,0.76299894,0.27389297,-0.4938535,0.2757451,0.024153851,0.8536,0.39941543,Ba/Sq
TCGA-BT-A0S7,-0.29859364,-0.12896019,-0.50934374,0.066348,0.5111605,0.63795686,0.6585394,-0.4037928,-0.24865988,0.19252883,0.14521554,-0.40315974,0.46822625,0.5487248,0.062176436,-0.14633171,0.19306628,0.09460486,0.56052256,0.2374115,Ba/Sq
TCGA-BT-A0YX,-0.26908097,-0.354818,-0.2970287,-0.35371506,0.9471184,0.6574482,0.142628,-0.09443867,-0.41466767,0.35591888,-0.24409088,-0.30710393,0.23720995,0.73346555,0.49979427,-0.6880179,0.19016033,-0.17658252,1.1300249,0.3024304,Ba/Sq
TCGA-BT-A20J,0.0011731833,-0.017895952,-0.12940037,-0.30652803,0.74866813,0.5409604,0.14013419,0.1692583,-0.32910565,-0.068543814,0.15150312,-0.26453817,0.2808977,0.76510036,0.24062803,-0.58001804,0.39507648,0.10936215,0.79526067,0.42328927,Ba/Sq
TCGA-BT-A20N,-0.25074148,-0.37097788,-0.31997323,-0.18395889,0.64906424,0.4419149,0.22659363,-0.38232088,-0.33998346,0.4794265,-0.20547,-0.21155533,0.47147396,0.48124322,0.43793908,-0.50530136,0.11609803,-0.2151353,0.81160784,0.21770743,Ba/Sq
TCGA-BT-A20O,-0.2987126,-0.42062294,-0.34535748,-0.33625624,1.0809647,0.6775212,0.082777426,-0.26190737,-0.63396245,0.6562095,-0.3299951,-0.2584281,0.44167992,0.80774856,0.7302946,-0.9355397,0.11740921,-0.29110575,1.35638,0.26853395,Ba/Sq
TCGA-BT-A20U,-0.1281712,-0.13556033,-0.27654982,-0.20416674,0.8067246,0.6616894,0.26441014,-0.02971717,-0.3553689,0.12138091,0.090401255,-0.36036873,0.28875232,0.8053893,0.2823145,-0.53087735,0.3156198,0.05943542,0.8884356,0.42296055,Ba/Sq
TCGA-BT-A20V,-0.14901084,-0.31549555,-0.43868273,-0.115238786,0.7418278,0.40860754,0.20802955,-0.33407307,-0.37888187,0.63624877,0.06454634,-0.3638695,0.515748,0.73841083,0.4342201,-0.6449689,-0.03031239,-0.09792764,1.0893486,0.22627285,Ba/Sq
TCGA-BT-A20X,-0.13474014,-0.18517195,-0.31862256,-0.21079934,0.8178663,0.6139228,0.20238055,-0.03538333,-0.33857748,0.21343575,0.10558572,-0.39764994,0.2690614,0.81190085,0.31030947,-0.58419484,0.22323275,0.027237259,1.0105845,0.39586544,Ba/Sq
TCGA-BT-A2LD,-0.28783274,-0.08220172,-0.24063814,-0.015187636,0.19916442,0.4438999,0.5740383,-0.2965046,-0.03379333,-0.12813178,0.07382334,-0.2540487,0.29823,0.1406389,-0.13571474,0.05005049,0.32007766,0.08776095,0.14996402,0.18137914,Ba/Sq
TCGA-BT-A3PJ,-0.14169267,-0.35791543,-0.10702902,-0.19812545,0.4026933,0.13190535,0.0903245,-0.34375662,-0.14855054,0.33811957,-0.17769796,-0.087001994,0.3134539,0.20713684,0.29423845,-0.42039496,0.052162036,-0.2640355,0.5862848,0.20937693,Ba/Sq
TCGA-BT-A3PK,-0.73342335,0.080096334,-0.2525996,0.44778687,-0.06565064,0.9950047,1.1292262,-0.39504662,0.10023252,-0.3654697,0.3439128,-0.37989455,0.5893623,0.2729109,-0.5666721,0.3179011,0.9377079,0.7240434,-0.16598062,0.21588042,Ba/Sq
TCGA-BT-A42E,-0.2100539,-0.24751472,-0.37370118,-0.055096492,0.5436529,0.48797512,0.3998593,-0.29092062,-0.18940458,0.23596428,0.012644649,-0.34275383,0.3858444,0.51045823,0.1996808,-0.28523472,0.17325193,-0.007025756,0.6474649,0.25985867,Ba/Sq
TCGA-BT-A42F,-0.054355178,-0.1647116,-0.2887629,-0.16702338,0.6292778,0.4217895,0.22898255,-0.104099,-0.24820152,0.1980883,0.12076103,-0.33295733,0.3349377,0.65407443,0.22837844,-0.4276553,0.17030114,0.024402507,0.76724035,0.31897348,Ba/Sq
TCGA-C4-A0F0,-0.2886712,-0.13916688,-0.49327254,0.120150685,0.3930649,0.5565352,0.6513536,-0.39797235,-0.15372956,0.16403694,0.19035605,-0.428618,0.44715405,0.5276984,0.04543154,-0.079573475,0.18797886,0.14631677,0.4893671,0.25187454,Ba/Sq
TCGA-C4-A0F1,-0.14297675,-0.2935012,-0.2767174,-0.17713676,0.6184171,0.3117627,0.16051081,-0.2847373,-0.2917979,0.45805818,-0.04949861,-0.2728869,0.36102647,0.51958823,0.36191005,-0.54340947,0.0047190487,-0.17184344,0.8812608,0.2259902,Ba/Sq
TCGA-C4-A0F7,-0.27704382,-0.47810292,-0.2646783,-0.23807947,0.73325187,0.38709426,0.08546725,-0.4398201,-0.44547248,0.6831054,-0.31900257,-0.14612359,0.48098204,0.5197207,0.5815203,-0.7189971,0.036461115,-0.33725083,1.0242916,0.22190842,Ba/Sq
TCGA-CF-A1HS,-0.13347366,-0.24755608,-0.30858645,-0.12629634,0.5605302,0.33849624,0.25323054,-0.28031045,-0.25233877,0.35759544,0.024254046,-0.29825765,0.3657105,0.48409733,0.25020796,-0.43462002,0.05912006,-0.10081724,0.7656202,0.23121507,Ba/Sq
TCGA-CU-A0YN,-0.691126,0.06338851,-0.3176377,0.5068578,-0.19745496,0.8468483,1.203502,-0.56574047,0.16871215,-0.23791872,0.39376542,-0.3689636,0.63747823,0.17681731,-0.55235994,0.33437315,0.7852359,0.7487772,-0.19490272,0.1405687,Ba/Sq
TCGA-CU-A3KJ,-0.08233954,-0.18273059,-0.33894742,-0.1782357,0.8126369,0.50834274,0.18011096,-0.115318485,-0.3181741,0.3414545,0.09699453,-0.39337325,0.34028646,0.7671813,0.35596883,-0.5832498,0.10390605,-0.018738918,1.021613,0.31539264,Ba/Sq
TCGA-CU-A72E,-0.12043542,-0.29811162,-0.22437352,-0.12464076,0.43415156,0.23594758,0.19705167,-0.28037727,-0.16393289,0.30315584,-0.049643733,-0.21919493,0.33360857,0.37372857,0.23699027,-0.35656592,0.08851479,-0.10069474,0.62347496,0.21924767,Ba/Sq
TCGA-DK-A1A5,-0.29160494,-0.32874334,-0.31393382,-0.47169462,1.3318255,0.92903453,0.060563594,-0.06753895,-0.76496255,0.5428656,-0.31586248,-0.27609956,0.41012323,1.0197133,0.78462684,-1.0889423,0.26208532,-0.23387149,1.5238287,0.36128363,Ba/Sq
TCGA-DK-A1AB,-0.15189841,-0.2654891,-0.34974465,-0.21969764,0.9052519,0.51265,0.1372477,-0.20923437,-0.4430954,0.5170541,-0.04887936,-0.36616892,0.339765,0.7534003,0.47728357,-0.74900144,0.03750445,-0.15005699,1.1944506,0.2680721,Ba/Sq
TCGA-DK-A1AE,-0.39979994,-0.41654283,-0.34514773,-0.33387938,0.9577472,0.74411786,0.225514,-0.368577,-0.57989854,0.58237773,-0.4102177,-0.20257272,0.5201765,0.6133772,0.6426983,-0.7211128,0.20042388,-0.32649797,1.0841168,0.20077762,Ba/Sq
TCGA-DK-A2I2,-0.22879215,-0.27021623,-0.2951929,-0.15133813,0.5555337,0.48389,0.3253755,-0.2086913,-0.21835148,0.16487898,-0.08101909,-0.27193975,0.2888558,0.4880667,0.19728503,-0.31327653,0.2187257,-0.044777952,0.6281941,0.26948544,Ba/Sq
TCGA-DK-A2I4,-0.16296016,-0.2510701,-0.2798745,-0.37182486,1.0448167,0.68567204,0.043477833,-0.021244548,-0.5050593,0.37354302,-0.08645276,-0.3110345,0.28814965,0.9003446,0.5450115,-0.8378676,0.20600602,-0.12709543,1.2536374,0.37800756,Ba/Sq
TCGA-DK-A2I6,-0.13122605,-0.092438854,-0.19694485,-0.302486,0.93079364,0.69997376,0.14924827,0.13479155,-0.42880183,0.02621369,0.041829348,-0.34947824,0.118998855,0.9002259,0.30998108,-0.68050534,0.3229314,0.067182265,1.0834174,0.4225688,Ba/Sq
TCGA-DK-A3IM,-0.077001944,-0.22488065,-0.04998268,-0.20544341,0.3235863,0.08879827,0.15782848,-0.3197582,-0.16024321,0.20496477,-0.091248825,-0.026273556,0.4116951,0.20465386,0.2463727,-0.43218818,0.100072384,-0.22550207,0.46579224,0.20657924,Ba/Sq
TCGA-DK-A3IN,-0.09841967,-0.20903347,-0.30037156,-0.32246506,1.0244131,0.56302,0.014542319,-0.030114561,-0.47792006,0.44473988,-0.004896313,-0.37538475,0.26807266,0.88789487,0.524297,-0.86785,0.07596189,-0.12820402,1.3165725,0.33049697,Ba/Sq
TCGA-DK-A3IU,-0.077238575,-0.112655774,-0.31044778,-0.33319348,1.085965,0.7815717,0.11109951,0.14311472,-0.46520787,0.19724055,0.15099621,-0.44977134,0.19082063,1.0729707,0.42316923,-0.8190466,0.25808808,0.05719187,1.3094525,0.48433566,Ba/Sq
TCGA-DK-A3WW,-0.46136206,0.038499787,-0.5095944,0.42614478,0.15346578,0.8522089,1.0467281,-0.42058966,0.041881286,-0.11665595,0.5196483,-0.57726884,0.48666257,0.50828886,-0.34485048,0.17087393,0.5472274,0.61014956,0.17011908,0.28895542,Ba/Sq
TCGA-DK-A3WX,-0.93403816,0.19951035,-0.31640932,0.8246731,-0.29524213,1.2343,1.5196587,-0.59764695,0.20729822,-0.41901362,0.60051465,-0.4382658,0.81146723,0.3504135,-0.8649993,0.43376705,1.1873808,1.1347696,-0.34258395,0.22343208,Ba/Sq
TCGA-DK-A3X2,-0.28167546,-0.4021052,-0.42839822,-0.22517213,0.947075,0.5888045,0.20568958,-0.3345003,-0.48152858,0.69521546,-0.17515405,-0.3912292,0.39504337,0.77722096,0.59100866,-0.78958863,-0.015686959,-0.24378648,1.3125544,0.26320666,Ba/Sq
TCGA-DK-A6B5,-0.12006545,-0.14742945,-0.39587688,-0.20898727,0.9630356,0.7444645,0.26644284,-0.0029981285,-0.3980126,0.24842454,0.18147421,-0.47195786,0.304331,1.0072869,0.35819006,-0.64408815,0.21870661,0.0717622,1.1416373,0.4463423,Ba/Sq
TCGA-DK-AA6L,-0.13825352,-0.13960883,-0.2906164,-0.20481417,0.78099495,0.64926857,0.25639316,0.029699296,-0.30033267,0.07913439,0.12555096,-0.3970673,0.20075342,0.8130313,0.2183826,-0.49911964,0.29263324,0.102589615,0.9190259,0.40882492,Ba/Sq
TCGA-DK-AA6M,-0.11855003,0.088901624,-0.19868307,0.051790416,0.35962623,0.58382505,0.518011,-0.000119552016,0.030277565,-0.24517125,0.40181404,-0.43767053,0.28435957,0.5674976,-0.14467363,-0.15141754,0.5132767,0.3734361,0.37182263,0.37072206,Ba/Sq
TCGA-DK-AA6Q,-0.21002142,-0.27455962,-0.30318448,-0.23493795,0.8137812,0.67494017,0.2488718,-0.09084918,-0.31314555,0.19781856,-0.07344034,-0.32662964,0.25452757,0.7235031,0.32945365,-0.521057,0.27111813,-0.038630128,0.91585004,0.37877008,Ba/Sq
TCGA-DK-AA6R,-0.2678805,-0.17279582,-0.43704328,-0.1878587,0.9735176,0.8935652,0.38140488,-0.050029106,-0.44907153,0.20066778,0.09610925,-0.47489864,0.27634218,1.0102135,0.33150554,-0.6107236,0.30358285,0.100994445,1.1417322,0.44093108,Ba/Sq
TCGA-DK-AA6S,-0.17332782,-0.08455805,-0.35952562,0.12853038,0.4009126,0.6108753,0.5865338,-0.21695268,-0.08058655,0.030867368,0.28885582,-0.43048745,0.44212148,0.6541877,-0.052421726,-0.06798225,0.3737098,0.29888093,0.4096331,0.33043683,Ba/Sq
TCGA-DK-AA74,-0.14999683,-0.12985247,-0.42736495,-0.20482716,0.9917746,0.8160603,0.2975944,0.09100938,-0.37519473,0.12954079,0.22466409,-0.52742434,0.20196217,1.0895725,0.2962534,-0.63580596,0.28487873,0.18274063,1.1923078,0.465648,Ba/Sq
TCGA-E5-A2PC,-0.27767834,-0.22266597,-0.46887547,-0.11082668,0.8776409,0.7730724,0.40558636,-0.20734057,-0.39105496,0.32244694,0.053445853,-0.45912874,0.34496117,0.90037394,0.37168846,-0.5413738,0.19724436,0.036715247,1.0733805,0.3853232,Ba/Sq
TCGA-E5-A4TZ,-0.09622699,-0.039054126,-0.21648031,-0.09022831,0.4427083,0.4197854,0.3267302,-0.08574627,-0.12963425,-0.047458857,0.18940726,-0.3531518,0.23588535,0.48546723,0.04581864,-0.226401,0.24739273,0.09912496,0.5291915,0.31693918,Ba/Sq
TCGA-E7-A3X6,-0.15412697,-0.23231716,-0.363518,-0.41263992,1.2853574,0.7545357,0.012303844,0.039203435,-0.6424285,0.5019407,-0.04451613,-0.4257905,0.224263,1.0902032,0.6725457,-1.103993,0.09264905,-0.17087594,1.6308222,0.4062066,Ba/Sq
TCGA-E7-A7DV,-0.22025733,-0.09226766,-0.14724791,-0.079053566,0.33031788,0.52165836,0.4132524,-0.07379541,-0.03729935,-0.17882375,0.057918318,-0.29041004,0.22513026,0.4294572,-0.03234911,-0.10784937,0.4564346,0.2061497,0.34604478,0.3148908,Ba/Sq
TCGA-E7-A7XN,-0.55477077,0.077470765,-0.19169535,0.21991822,0.15754893,0.9209282,0.90374076,-0.19925234,0.059529133,-0.41197717,0.27816898,-0.4057907,0.42728406,0.34819037,-0.3891428,0.15395316,0.85909224,0.55138814,0.04118017,0.27495533,Ba/Sq
TCGA-E7-A97P,-0.1968969,-0.032885462,-0.38978395,-0.036456943,0.76570845,0.83767265,0.50838435,0.031253487,-0.24127981,-0.07598847,0.2710417,-0.5333581,0.21539624,0.9676336,0.088608146,-0.31407243,0.4138066,0.32873487,0.82649255,0.4338716,Ba/Sq
TCGA-FD-A3B3,-0.4186025,0.0785341,-0.37572297,0.32597914,0.31399858,0.9271021,0.903257,-0.17972109,-0.012691565,-0.267144,0.4447374,-0.5503569,0.43721053,0.6565579,-0.3023295,0.08419515,0.71884483,0.6093563,0.23983774,0.30209556,Ba/Sq
TCGA-FD-A3B4,-0.39522672,0.058821842,-0.35050327,0.3424996,0.17727444,0.80020475,0.9104779,-0.31568095,0.05456708,-0.1838875,0.45087367,-0.4989065,0.5058218,0.45719096,-0.33113688,0.118005484,0.63767695,0.5306761,0.12710193,0.29935402,Ba/Sq
TCGA-FD-A3B5,-0.13726334,-0.26613465,-0.37911138,-0.30883184,1.1628808,0.7287303,0.08812104,-0.024232253,-0.5026538,0.49151838,-0.0034129247,-0.45924973,0.27486646,1.0671786,0.58561635,-0.9109782,0.11488187,-0.07363943,1.4856669,0.40766752,Ba/Sq
TCGA-FD-A3B6,-0.34547725,-0.01021643,-0.2481691,0.15718544,0.19504683,0.65340966,0.73095524,-0.23840068,0.04685566,-0.18806118,0.27040017,-0.4095791,0.3851082,0.36236608,-0.22371581,0.08089825,0.5528277,0.39375466,0.16271219,0.28342408,Ba/Sq
TCGA-FD-A3B7,-0.26268977,-0.1966296,-0.51560426,-0.018063098,0.6888223,0.7323222,0.5539617,-0.22581105,-0.25319293,0.17185442,0.1712825,-0.48475444,0.3515833,0.7849419,0.18063158,-0.33640152,0.24494033,0.13245237,0.81530464,0.40125322,Ba/Sq
TCGA-FD-A3B8,-0.2583016,-0.019147724,-0.3912518,0.042547375,0.5818416,0.8175234,0.64355326,-0.08027888,-0.14701086,-0.119856425,0.2792452,-0.5141667,0.28276327,0.75338864,-0.037707403,-0.1421645,0.4481973,0.3246956,0.57180464,0.37732613,Ba/Sq
TCGA-FD-A3N5,-0.13138188,-0.2076819,-0.39686355,-0.23876435,0.9264351,0.6089554,0.17190309,-0.06559991,-0.38729683,0.38710338,0.12250512,-0.46028173,0.31451875,0.9044795,0.44434848,-0.7157384,0.09194811,-0.04968208,1.2073708,0.3886874,Ba/Sq
TCGA-FD-A3N6,-0.024149198,-0.065719105,-0.19914961,-0.06566775,0.40969056,0.37174302,0.31608504,-0.06670828,-0.082913935,-0.033341654,0.1932374,-0.32318735,0.28784055,0.5016203,0.015649602,-0.1772914,0.27361873,0.1455861,0.44348165,0.3102867,Ba/Sq
TCGA-FD-A3SN,-0.10302949,-0.07165018,-0.31231245,-0.15546764,0.70491207,0.62297136,0.3209077,0.035501644,-0.24137011,0.027923122,0.25199428,-0.4627579,0.24301755,0.80722415,0.16651887,-0.42277047,0.28529334,0.16389346,0.86076945,0.44083285,Ba/Sq
TCGA-FD-A3SO,-0.15970698,-0.12681492,-0.39706177,-0.17611587,0.8487039,0.741233,0.33603343,0.012717888,-0.30917686,0.11586042,0.2181612,-0.4889685,0.2557001,0.9312124,0.26342022,-0.51569337,0.2721884,0.13719448,1.0175085,0.462588,Ba/Sq
TCGA-FD-A3SP,-1.5921189,0.36844182,-0.5524524,1.2886198,-0.8777388,1.6765903,2.4147387,-1.1786907,0.35731146,-0.39027113,0.905378,-0.42264748,1.4200795,0.16396885,-1.2788656,0.73107904,1.5741928,1.7523192,-0.7791029,0.06103261,Ba/Sq
TCGA-FD-A3SS,-0.20191468,-0.23051505,-0.47655362,-0.11734827,0.7966111,0.6506781,0.4029229,-0.19710097,-0.3111043,0.33310556,0.13291472,-0.4796912,0.34997207,0.81186426,0.30027917,-0.509575,0.12977837,0.010169633,1.0127773,0.3681255,Ba/Sq
TCGA-FD-A43Y,-0.39648047,0.117318705,-0.44546923,0.19560355,0.64559746,1.2159721,0.90294194,-0.00030356646,-0.1455542,-0.27178967,0.5112923,-0.6835414,0.3779868,1.0709372,-0.19250558,-0.12007254,0.80052215,0.69561297,0.599826,0.48128754,Ba/Sq
TCGA-FD-A5BT,-0.11737771,-0.09014932,-0.42274243,-0.09960477,0.9111367,0.81518245,0.40418062,0.007384315,-0.3459504,0.11867279,0.26605588,-0.5195405,0.3092956,1.0240881,0.2254386,-0.5062988,0.33503675,0.22236946,1.0054736,0.44138676,Ba/Sq
TCGA-FD-A5BU,-0.08319731,-0.12272421,-0.2555487,-0.24834321,0.8402353,0.66759443,0.19457616,0.0678058,-0.33379278,0.08314812,0.13878328,-0.37919444,0.24619284,0.87171674,0.26910967,-0.57166207,0.33457714,0.10157149,0.96889186,0.44258827,Ba/Sq
TCGA-FD-A5BY,-0.19207336,0.008040667,-0.28434485,0.0058244616,0.58859307,0.81959176,0.57685626,0.015284136,-0.14069161,-0.18463774,0.28880292,-0.4773816,0.31552434,0.7957015,-0.017877407,-0.2104927,0.59138405,0.40006083,0.54377997,0.43614507,Ba/Sq
TCGA-FD-A5C1,-0.39283538,-0.0011405498,-0.23303127,0.14871356,0.20540819,0.7275148,0.72654986,-0.17069668,0.009796441,-0.25364834,0.2633318,-0.40753675,0.3610193,0.40861326,-0.27496678,0.07694033,0.6124338,0.42146313,0.1917958,0.27296478,Ba/Sq
TCGA-FD-A62N,-0.3593803,0.31527686,0.2426322,0.088769644,0.13491368,0.9308793,0.75607955,0.035040155,0.08535593,-0.8053225,0.2425411,-0.11013702,0.67594665,0.25071707,-0.35575718,-0.1499736,1.2173226,0.5269473,-0.115397,0.3960659,Ba/Sq
TCGA-FD-A62P,-0.073064715,-0.04552719,-0.34358612,-0.15307033,0.80850303,0.6908712,0.3057027,0.0571433,-0.2947108,0.06731339,0.2836634,-0.47103524,0.28006977,0.9366107,0.20276865,-0.4830507,0.29843998,0.19190633,0.9337789,0.42096746,Ba/Sq
TCGA-FD-A62S,-0.44810385,-0.010429338,-0.51659465,-0.051469468,0.720634,1.057501,0.77487636,-0.037300497,-0.32331964,-0.1648155,0.28663218,-0.5874472,0.24778774,0.93745816,-0.017462537,-0.20107332,0.48895025,0.34625247,0.77410233,0.39844584,Ba/Sq
TCGA-FD-A6TD,-0.065650284,0.36985695,-0.0449392,0.15357,0.53502524,0.9535014,0.60853755,0.24989039,-0.022825733,-0.5459446,0.6046748,-0.44630182,0.5162262,0.8672906,-0.22133648,-0.3306637,1.0050724,0.7064906,0.37955645,0.5073794,Ba/Sq
TCGA-FD-A6TH,-0.13482226,-0.11802554,-0.27873814,-0.18898547,0.7212944,0.60113263,0.27307734,-0.0003902316,-0.27749747,0.0631953,0.1265885,-0.38298798,0.21147187,0.75178766,0.19619814,-0.45744225,0.26905766,0.08158768,0.8393754,0.39780432,Ba/Sq
TCGA-FD-A6TK,-0.5394008,0.20107333,-0.15505442,0.4060514,0.15691814,1.0916258,1.0285144,-0.20023364,0.12390758,-0.48484397,0.4434737,-0.4342239,0.6358812,0.4583399,-0.47124827,0.13215503,1.0867643,0.7448798,-0.06903171,0.3496958,Ba/Sq
TCGA-FT-A61P,-0.27767265,0.15729432,-0.37026227,0.2874724,0.43320304,0.94020367,0.8280667,-0.094340995,0.012331955,-0.20451841,0.5870074,-0.65025294,0.38630664,0.805019,-0.2683932,-0.06981096,0.66351056,0.64707965,0.4294851,0.41991973,Ba/Sq
